split,pid,camera,sequence,frame,det,src_path,dst_path
train,2,5,1,69073,2,bounding_box_train/0002_c5s1_069073_02.jpg,data/processed/train/0002/0002_c5s1_069073_02.jpg
train,2,5,1,123595,4,bounding_box_train/0002_c5s1_123595_04.jpg,data/processed/train/0002/0002_c5s1_123595_04.jpg
train,2,5,1,123595,8,bounding_box_train/0002_c5s1_123595_08.jpg,data/processed/train/0002/0002_c5s1_123595_08.jpg
train,2,6,1,69251,3,bounding_box_train/0002_c6s1_069251_03.jpg,data/processed/train/0002/0002_c6s1_069251_03.jpg
train,2,6,1,73426,2,bounding_box_train/0002_c6s1_073426_02.jpg,data/processed/train/0002/0002_c6s1_073426_02.jpg
train,2,6,1,73451,2,bounding_box_train/0002_c6s1_073451_02.jpg,data/processed/train/0002/0002_c6s1_073451_02.jpg
train,7,1,6,28546,1,bounding_box_train/0007_c1s6_028546_01.jpg,data/processed/train/0007/0007_c1s6_028546_01.jpg
train,7,1,6,28546,4,bounding_box_train/0007_c1s6_028546_04.jpg,data/processed/train/0007/0007_c1s6_028546_04.jpg
train,7,2,3,70952,1,bounding_box_train/0007_c2s3_070952_01.jpg,data/processed/train/0007/0007_c2s3_070952_01.jpg
train,7,2,3,71002,1,bounding_box_train/0007_c2s3_071002_01.jpg,data/processed/train/0007/0007_c2s3_071002_01.jpg
train,7,2,3,71052,1,bounding_box_train/0007_c2s3_071052_01.jpg,data/processed/train/0007/0007_c2s3_071052_01.jpg
train,7,3,3,77344,4,bounding_box_train/0007_c3s3_077344_04.jpg,data/processed/train/0007/0007_c3s3_077344_04.jpg
train,7,3,3,77419,3,bounding_box_train/0007_c3s3_077419_03.jpg,data/processed/train/0007/0007_c3s3_077419_03.jpg
train,10,1,6,27271,5,bounding_box_train/0010_c1s6_027271_05.jpg,data/processed/train/0010/0010_c1s6_027271_05.jpg
train,10,1,6,27296,1,bounding_box_train/0010_c1s6_027296_01.jpg,data/processed/train/0010/0010_c1s6_027296_01.jpg
train,10,3,3,75919,2,bounding_box_train/0010_c3s3_075919_02.jpg,data/processed/train/0010/0010_c3s3_075919_02.jpg
train,10,3,3,76019,1,bounding_box_train/0010_c3s3_076019_01.jpg,data/processed/train/0010/0010_c3s3_076019_01.jpg
train,10,3,3,76044,5,bounding_box_train/0010_c3s3_076044_05.jpg,data/processed/train/0010/0010_c3s3_076044_05.jpg
train,10,3,3,76069,3,bounding_box_train/0010_c3s3_076069_03.jpg,data/processed/train/0010/0010_c3s3_076069_03.jpg
train,10,5,3,76487,2,bounding_box_train/0010_c5s3_076487_02.jpg,data/processed/train/0010/0010_c5s3_076487_02.jpg
train,10,6,4,2427,2,bounding_box_train/0010_c6s4_002427_02.jpg,data/processed/train/0010/0010_c6s4_002427_02.jpg
train,10,6,4,2427,7,bounding_box_train/0010_c6s4_002427_07.jpg,data/processed/train/0010/0010_c6s4_002427_07.jpg
train,10,6,4,2452,2,bounding_box_train/0010_c6s4_002452_02.jpg,data/processed/train/0010/0010_c6s4_002452_02.jpg
train,10,6,4,2502,2,bounding_box_train/0010_c6s4_002502_02.jpg,data/processed/train/0010/0010_c6s4_002502_02.jpg
train,11,1,6,27271,1,bounding_box_train/0011_c1s6_027271_01.jpg,data/processed/train/0011/0011_c1s6_027271_01.jpg
train,11,1,6,27296,3,bounding_box_train/0011_c1s6_027296_03.jpg,data/processed/train/0011/0011_c1s6_027296_03.jpg
train,11,3,3,75919,3,bounding_box_train/0011_c3s3_075919_03.jpg,data/processed/train/0011/0011_c3s3_075919_03.jpg
train,11,3,3,75969,2,bounding_box_train/0011_c3s3_075969_02.jpg,data/processed/train/0011/0011_c3s3_075969_02.jpg
train,11,3,3,76044,3,bounding_box_train/0011_c3s3_076044_03.jpg,data/processed/train/0011/0011_c3s3_076044_03.jpg
train,11,3,3,76119,7,bounding_box_train/0011_c3s3_076119_07.jpg,data/processed/train/0011/0011_c3s3_076119_07.jpg
train,11,5,3,76537,12,bounding_box_train/0011_c5s3_076537_12.jpg,data/processed/train/0011/0011_c5s3_076537_12.jpg
train,11,5,3,76562,9,bounding_box_train/0011_c5s3_076562_09.jpg,data/processed/train/0011/0011_c5s3_076562_09.jpg
train,11,6,4,2352,1,bounding_box_train/0011_c6s4_002352_01.jpg,data/processed/train/0011/0011_c6s4_002352_01.jpg
train,11,6,4,2377,1,bounding_box_train/0011_c6s4_002377_01.jpg,data/processed/train/0011/0011_c6s4_002377_01.jpg
train,11,6,4,2427,1,bounding_box_train/0011_c6s4_002427_01.jpg,data/processed/train/0011/0011_c6s4_002427_01.jpg
train,11,6,4,2452,1,bounding_box_train/0011_c6s4_002452_01.jpg,data/processed/train/0011/0011_c6s4_002452_01.jpg
train,11,6,4,2502,1,bounding_box_train/0011_c6s4_002502_01.jpg,data/processed/train/0011/0011_c6s4_002502_01.jpg
train,11,6,4,2527,1,bounding_box_train/0011_c6s4_002527_01.jpg,data/processed/train/0011/0011_c6s4_002527_01.jpg
train,11,6,4,2527,5,bounding_box_train/0011_c6s4_002527_05.jpg,data/processed/train/0011/0011_c6s4_002527_05.jpg
train,12,1,1,701,1,bounding_box_train/0012_c1s1_000701_01.jpg,data/processed/train/0012/0012_c1s1_000701_01.jpg
train,12,1,1,776,2,bounding_box_train/0012_c1s1_000776_02.jpg,data/processed/train/0012/0012_c1s1_000776_02.jpg
train,12,1,1,801,2,bounding_box_train/0012_c1s1_000801_02.jpg,data/processed/train/0012/0012_c1s1_000801_02.jpg
train,12,4,1,826,1,bounding_box_train/0012_c4s1_000826_01.jpg,data/processed/train/0012/0012_c4s1_000826_01.jpg
train,12,4,1,876,3,bounding_box_train/0012_c4s1_000876_03.jpg,data/processed/train/0012/0012_c4s1_000876_03.jpg
train,12,5,1,651,2,bounding_box_train/0012_c5s1_000651_02.jpg,data/processed/train/0012/0012_c5s1_000651_02.jpg
train,20,1,1,1526,3,bounding_box_train/0020_c1s1_001526_03.jpg,data/processed/train/0020/0020_c1s1_001526_03.jpg
train,20,4,1,1426,4,bounding_box_train/0020_c4s1_001426_04.jpg,data/processed/train/0020/0020_c4s1_001426_04.jpg
train,20,4,1,1426,6,bounding_box_train/0020_c4s1_001426_06.jpg,data/processed/train/0020/0020_c4s1_001426_06.jpg
train,20,4,1,1451,3,bounding_box_train/0020_c4s1_001451_03.jpg,data/processed/train/0020/0020_c4s1_001451_03.jpg
train,20,4,1,1451,4,bounding_box_train/0020_c4s1_001451_04.jpg,data/processed/train/0020/0020_c4s1_001451_04.jpg
train,20,4,1,1476,1,bounding_box_train/0020_c4s1_001476_01.jpg,data/processed/train/0020/0020_c4s1_001476_01.jpg
train,22,1,1,2351,4,bounding_box_train/0022_c1s1_002351_04.jpg,data/processed/train/0022/0022_c1s1_002351_04.jpg
train,22,1,1,2376,1,bounding_box_train/0022_c1s1_002376_01.jpg,data/processed/train/0022/0022_c1s1_002376_01.jpg
train,22,1,1,2401,1,bounding_box_train/0022_c1s1_002401_01.jpg,data/processed/train/0022/0022_c1s1_002401_01.jpg
train,22,1,1,2851,1,bounding_box_train/0022_c1s1_002851_01.jpg,data/processed/train/0022/0022_c1s1_002851_01.jpg
train,22,1,1,2876,1,bounding_box_train/0022_c1s1_002876_01.jpg,data/processed/train/0022/0022_c1s1_002876_01.jpg
train,22,1,1,4051,1,bounding_box_train/0022_c1s1_004051_01.jpg,data/processed/train/0022/0022_c1s1_004051_01.jpg
train,22,1,1,4101,1,bounding_box_train/0022_c1s1_004101_01.jpg,data/processed/train/0022/0022_c1s1_004101_01.jpg
train,22,1,1,4126,1,bounding_box_train/0022_c1s1_004126_01.jpg,data/processed/train/0022/0022_c1s1_004126_01.jpg
train,22,2,1,1801,5,bounding_box_train/0022_c2s1_001801_05.jpg,data/processed/train/0022/0022_c2s1_001801_05.jpg
train,22,3,1,1826,2,bounding_box_train/0022_c3s1_001826_02.jpg,data/processed/train/0022/0022_c3s1_001826_02.jpg
train,22,3,1,1901,1,bounding_box_train/0022_c3s1_001901_01.jpg,data/processed/train/0022/0022_c3s1_001901_01.jpg
train,22,3,1,1926,2,bounding_box_train/0022_c3s1_001926_02.jpg,data/processed/train/0022/0022_c3s1_001926_02.jpg
train,22,3,1,2376,1,bounding_box_train/0022_c3s1_002376_01.jpg,data/processed/train/0022/0022_c3s1_002376_01.jpg
train,22,3,1,3401,2,bounding_box_train/0022_c3s1_003401_02.jpg,data/processed/train/0022/0022_c3s1_003401_02.jpg
train,22,3,1,3451,1,bounding_box_train/0022_c3s1_003451_01.jpg,data/processed/train/0022/0022_c3s1_003451_01.jpg
train,22,3,1,3476,1,bounding_box_train/0022_c3s1_003476_01.jpg,data/processed/train/0022/0022_c3s1_003476_01.jpg
train,22,3,1,44651,1,bounding_box_train/0022_c3s1_044651_01.jpg,data/processed/train/0022/0022_c3s1_044651_01.jpg
train,22,3,1,44676,1,bounding_box_train/0022_c3s1_044676_01.jpg,data/processed/train/0022/0022_c3s1_044676_01.jpg
train,22,4,1,4376,3,bounding_box_train/0022_c4s1_004376_03.jpg,data/processed/train/0022/0022_c4s1_004376_03.jpg
train,22,4,1,45201,2,bounding_box_train/0022_c4s1_045201_02.jpg,data/processed/train/0022/0022_c4s1_045201_02.jpg
train,22,4,1,45251,1,bounding_box_train/0022_c4s1_045251_01.jpg,data/processed/train/0022/0022_c4s1_045251_01.jpg
train,22,4,1,45326,1,bounding_box_train/0022_c4s1_045326_01.jpg,data/processed/train/0022/0022_c4s1_045326_01.jpg
train,22,5,1,2401,1,bounding_box_train/0022_c5s1_002401_01.jpg,data/processed/train/0022/0022_c5s1_002401_01.jpg
train,22,5,1,2426,1,bounding_box_train/0022_c5s1_002426_01.jpg,data/processed/train/0022/0022_c5s1_002426_01.jpg
train,22,5,1,2526,1,bounding_box_train/0022_c5s1_002526_01.jpg,data/processed/train/0022/0022_c5s1_002526_01.jpg
train,22,5,1,2576,1,bounding_box_train/0022_c5s1_002576_01.jpg,data/processed/train/0022/0022_c5s1_002576_01.jpg
train,22,5,1,2851,1,bounding_box_train/0022_c5s1_002851_01.jpg,data/processed/train/0022/0022_c5s1_002851_01.jpg
train,22,5,1,2901,2,bounding_box_train/0022_c5s1_002901_02.jpg,data/processed/train/0022/0022_c5s1_002901_02.jpg
train,22,5,1,2926,1,bounding_box_train/0022_c5s1_002926_01.jpg,data/processed/train/0022/0022_c5s1_002926_01.jpg
train,22,5,1,4026,1,bounding_box_train/0022_c5s1_004026_01.jpg,data/processed/train/0022/0022_c5s1_004026_01.jpg
train,22,5,1,4051,1,bounding_box_train/0022_c5s1_004051_01.jpg,data/processed/train/0022/0022_c5s1_004051_01.jpg
train,22,5,1,4151,2,bounding_box_train/0022_c5s1_004151_02.jpg,data/processed/train/0022/0022_c5s1_004151_02.jpg
train,22,5,1,45301,1,bounding_box_train/0022_c5s1_045301_01.jpg,data/processed/train/0022/0022_c5s1_045301_01.jpg
train,22,5,1,45326,1,bounding_box_train/0022_c5s1_045326_01.jpg,data/processed/train/0022/0022_c5s1_045326_01.jpg
train,22,5,1,45401,4,bounding_box_train/0022_c5s1_045401_04.jpg,data/processed/train/0022/0022_c5s1_045401_04.jpg
train,22,6,1,2901,1,bounding_box_train/0022_c6s1_002901_01.jpg,data/processed/train/0022/0022_c6s1_002901_01.jpg
train,22,6,1,2901,3,bounding_box_train/0022_c6s1_002901_03.jpg,data/processed/train/0022/0022_c6s1_002901_03.jpg
train,22,6,1,2926,1,bounding_box_train/0022_c6s1_002926_01.jpg,data/processed/train/0022/0022_c6s1_002926_01.jpg
train,22,6,1,2926,3,bounding_box_train/0022_c6s1_002926_03.jpg,data/processed/train/0022/0022_c6s1_002926_03.jpg
train,22,6,1,2951,1,bounding_box_train/0022_c6s1_002951_01.jpg,data/processed/train/0022/0022_c6s1_002951_01.jpg
train,22,6,1,2951,5,bounding_box_train/0022_c6s1_002951_05.jpg,data/processed/train/0022/0022_c6s1_002951_05.jpg
train,22,6,1,2976,1,bounding_box_train/0022_c6s1_002976_01.jpg,data/processed/train/0022/0022_c6s1_002976_01.jpg
train,22,6,1,3001,1,bounding_box_train/0022_c6s1_003001_01.jpg,data/processed/train/0022/0022_c6s1_003001_01.jpg
train,22,6,1,3001,3,bounding_box_train/0022_c6s1_003001_03.jpg,data/processed/train/0022/0022_c6s1_003001_03.jpg
train,22,6,1,3026,1,bounding_box_train/0022_c6s1_003026_01.jpg,data/processed/train/0022/0022_c6s1_003026_01.jpg
train,22,6,1,3051,1,bounding_box_train/0022_c6s1_003051_01.jpg,data/processed/train/0022/0022_c6s1_003051_01.jpg
train,22,6,1,3876,1,bounding_box_train/0022_c6s1_003876_01.jpg,data/processed/train/0022/0022_c6s1_003876_01.jpg
train,22,6,1,3901,1,bounding_box_train/0022_c6s1_003901_01.jpg,data/processed/train/0022/0022_c6s1_003901_01.jpg
train,22,6,1,3926,1,bounding_box_train/0022_c6s1_003926_01.jpg,data/processed/train/0022/0022_c6s1_003926_01.jpg
train,22,6,1,3951,1,bounding_box_train/0022_c6s1_003951_01.jpg,data/processed/train/0022/0022_c6s1_003951_01.jpg
train,22,6,1,3976,1,bounding_box_train/0022_c6s1_003976_01.jpg,data/processed/train/0022/0022_c6s1_003976_01.jpg
train,22,6,1,4001,1,bounding_box_train/0022_c6s1_004001_01.jpg,data/processed/train/0022/0022_c6s1_004001_01.jpg
train,22,6,1,4026,1,bounding_box_train/0022_c6s1_004026_01.jpg,data/processed/train/0022/0022_c6s1_004026_01.jpg
train,22,6,1,4051,1,bounding_box_train/0022_c6s1_004051_01.jpg,data/processed/train/0022/0022_c6s1_004051_01.jpg
train,22,6,1,4076,1,bounding_box_train/0022_c6s1_004076_01.jpg,data/processed/train/0022/0022_c6s1_004076_01.jpg
train,22,6,1,4101,1,bounding_box_train/0022_c6s1_004101_01.jpg,data/processed/train/0022/0022_c6s1_004101_01.jpg
train,22,6,1,45101,2,bounding_box_train/0022_c6s1_045101_02.jpg,data/processed/train/0022/0022_c6s1_045101_02.jpg
train,22,6,1,45126,2,bounding_box_train/0022_c6s1_045126_02.jpg,data/processed/train/0022/0022_c6s1_045126_02.jpg
train,22,6,1,45176,2,bounding_box_train/0022_c6s1_045176_02.jpg,data/processed/train/0022/0022_c6s1_045176_02.jpg
train,23,1,1,4101,2,bounding_box_train/0023_c1s1_004101_02.jpg,data/processed/train/0023/0023_c1s1_004101_02.jpg
train,23,1,1,4126,2,bounding_box_train/0023_c1s1_004126_02.jpg,data/processed/train/0023/0023_c1s1_004126_02.jpg
train,23,3,1,1951,3,bounding_box_train/0023_c3s1_001951_03.jpg,data/processed/train/0023/0023_c3s1_001951_03.jpg
train,23,4,1,4151,1,bounding_box_train/0023_c4s1_004151_01.jpg,data/processed/train/0023/0023_c4s1_004151_01.jpg
train,23,4,1,4376,1,bounding_box_train/0023_c4s1_004376_01.jpg,data/processed/train/0023/0023_c4s1_004376_01.jpg
train,23,5,1,4051,4,bounding_box_train/0023_c5s1_004051_04.jpg,data/processed/train/0023/0023_c5s1_004051_04.jpg
train,23,6,1,2351,2,bounding_box_train/0023_c6s1_002351_02.jpg,data/processed/train/0023/0023_c6s1_002351_02.jpg
train,23,6,1,2376,2,bounding_box_train/0023_c6s1_002376_02.jpg,data/processed/train/0023/0023_c6s1_002376_02.jpg
train,23,6,1,2401,1,bounding_box_train/0023_c6s1_002401_01.jpg,data/processed/train/0023/0023_c6s1_002401_01.jpg
train,23,6,1,2451,1,bounding_box_train/0023_c6s1_002451_01.jpg,data/processed/train/0023/0023_c6s1_002451_01.jpg
train,23,6,1,2476,2,bounding_box_train/0023_c6s1_002476_02.jpg,data/processed/train/0023/0023_c6s1_002476_02.jpg
train,23,6,1,2501,2,bounding_box_train/0023_c6s1_002501_02.jpg,data/processed/train/0023/0023_c6s1_002501_02.jpg
train,23,6,1,2526,2,bounding_box_train/0023_c6s1_002526_02.jpg,data/processed/train/0023/0023_c6s1_002526_02.jpg
train,23,6,1,2551,3,bounding_box_train/0023_c6s1_002551_03.jpg,data/processed/train/0023/0023_c6s1_002551_03.jpg
train,23,6,1,2576,1,bounding_box_train/0023_c6s1_002576_01.jpg,data/processed/train/0023/0023_c6s1_002576_01.jpg
train,23,6,1,2676,3,bounding_box_train/0023_c6s1_002676_03.jpg,data/processed/train/0023/0023_c6s1_002676_03.jpg
train,23,6,1,3826,3,bounding_box_train/0023_c6s1_003826_03.jpg,data/processed/train/0023/0023_c6s1_003826_03.jpg
train,23,6,1,3851,2,bounding_box_train/0023_c6s1_003851_02.jpg,data/processed/train/0023/0023_c6s1_003851_02.jpg
train,23,6,1,3876,3,bounding_box_train/0023_c6s1_003876_03.jpg,data/processed/train/0023/0023_c6s1_003876_03.jpg
train,23,6,1,3901,3,bounding_box_train/0023_c6s1_003901_03.jpg,data/processed/train/0023/0023_c6s1_003901_03.jpg
train,27,1,1,2301,3,bounding_box_train/0027_c1s1_002301_03.jpg,data/processed/train/0027/0027_c1s1_002301_03.jpg
train,27,1,1,2326,4,bounding_box_train/0027_c1s1_002326_04.jpg,data/processed/train/0027/0027_c1s1_002326_04.jpg
train,27,1,1,2351,1,bounding_box_train/0027_c1s1_002351_01.jpg,data/processed/train/0027/0027_c1s1_002351_01.jpg
train,27,1,4,33456,1,bounding_box_train/0027_c1s4_033456_01.jpg,data/processed/train/0027/0027_c1s4_033456_01.jpg
train,27,1,4,33481,1,bounding_box_train/0027_c1s4_033481_01.jpg,data/processed/train/0027/0027_c1s4_033481_01.jpg
train,27,2,1,1751,4,bounding_box_train/0027_c2s1_001751_04.jpg,data/processed/train/0027/0027_c2s1_001751_04.jpg
train,27,2,1,1776,4,bounding_box_train/0027_c2s1_001776_04.jpg,data/processed/train/0027/0027_c2s1_001776_04.jpg
train,27,2,2,91032,2,bounding_box_train/0027_c2s2_091032_02.jpg,data/processed/train/0027/0027_c2s2_091032_02.jpg
train,27,3,1,2026,3,bounding_box_train/0027_c3s1_002026_03.jpg,data/processed/train/0027/0027_c3s1_002026_03.jpg
train,27,3,1,2051,2,bounding_box_train/0027_c3s1_002051_02.jpg,data/processed/train/0027/0027_c3s1_002051_02.jpg
train,27,3,1,2076,2,bounding_box_train/0027_c3s1_002076_02.jpg,data/processed/train/0027/0027_c3s1_002076_02.jpg
train,27,6,1,2626,1,bounding_box_train/0027_c6s1_002626_01.jpg,data/processed/train/0027/0027_c6s1_002626_01.jpg
train,27,6,1,2651,2,bounding_box_train/0027_c6s1_002651_02.jpg,data/processed/train/0027/0027_c6s1_002651_02.jpg
train,27,6,1,2676,2,bounding_box_train/0027_c6s1_002676_02.jpg,data/processed/train/0027/0027_c6s1_002676_02.jpg
train,27,6,2,87768,3,bounding_box_train/0027_c6s2_087768_03.jpg,data/processed/train/0027/0027_c6s2_087768_03.jpg
train,28,1,4,33506,1,bounding_box_train/0028_c1s4_033506_01.jpg,data/processed/train/0028/0028_c1s4_033506_01.jpg
train,28,1,4,33531,1,bounding_box_train/0028_c1s4_033531_01.jpg,data/processed/train/0028/0028_c1s4_033531_01.jpg
train,28,2,1,1751,2,bounding_box_train/0028_c2s1_001751_02.jpg,data/processed/train/0028/0028_c2s1_001751_02.jpg
train,28,2,1,1776,3,bounding_box_train/0028_c2s1_001776_03.jpg,data/processed/train/0028/0028_c2s1_001776_03.jpg
train,28,2,1,1801,3,bounding_box_train/0028_c2s1_001801_03.jpg,data/processed/train/0028/0028_c2s1_001801_03.jpg
train,28,3,1,1976,1,bounding_box_train/0028_c3s1_001976_01.jpg,data/processed/train/0028/0028_c3s1_001976_01.jpg
train,28,3,1,2001,2,bounding_box_train/0028_c3s1_002001_02.jpg,data/processed/train/0028/0028_c3s1_002001_02.jpg
train,28,3,1,2026,2,bounding_box_train/0028_c3s1_002026_02.jpg,data/processed/train/0028/0028_c3s1_002026_02.jpg
train,28,6,1,2551,2,bounding_box_train/0028_c6s1_002551_02.jpg,data/processed/train/0028/0028_c6s1_002551_02.jpg
train,28,6,1,2576,4,bounding_box_train/0028_c6s1_002576_04.jpg,data/processed/train/0028/0028_c6s1_002576_04.jpg
train,28,6,1,2601,2,bounding_box_train/0028_c6s1_002601_02.jpg,data/processed/train/0028/0028_c6s1_002601_02.jpg
train,30,1,1,2551,3,bounding_box_train/0030_c1s1_002551_03.jpg,data/processed/train/0030/0030_c1s1_002551_03.jpg
train,30,1,1,2576,1,bounding_box_train/0030_c1s1_002576_01.jpg,data/processed/train/0030/0030_c1s1_002576_01.jpg
train,30,2,1,1876,2,bounding_box_train/0030_c2s1_001876_02.jpg,data/processed/train/0030/0030_c2s1_001876_02.jpg
train,30,3,1,1926,6,bounding_box_train/0030_c3s1_001926_06.jpg,data/processed/train/0030/0030_c3s1_001926_06.jpg
train,30,4,1,2476,3,bounding_box_train/0030_c4s1_002476_03.jpg,data/processed/train/0030/0030_c4s1_002476_03.jpg
train,32,1,1,2576,3,bounding_box_train/0032_c1s1_002576_03.jpg,data/processed/train/0032/0032_c1s1_002576_03.jpg
train,32,1,1,2851,2,bounding_box_train/0032_c1s1_002851_02.jpg,data/processed/train/0032/0032_c1s1_002851_02.jpg
train,32,1,1,2876,2,bounding_box_train/0032_c1s1_002876_02.jpg,data/processed/train/0032/0032_c1s1_002876_02.jpg
train,32,3,1,2276,1,bounding_box_train/0032_c3s1_002276_01.jpg,data/processed/train/0032/0032_c3s1_002276_01.jpg
train,32,3,1,2376,2,bounding_box_train/0032_c3s1_002376_02.jpg,data/processed/train/0032/0032_c3s1_002376_02.jpg
train,32,3,1,2401,2,bounding_box_train/0032_c3s1_002401_02.jpg,data/processed/train/0032/0032_c3s1_002401_02.jpg
train,32,3,1,2451,2,bounding_box_train/0032_c3s1_002451_02.jpg,data/processed/train/0032/0032_c3s1_002451_02.jpg
train,32,3,1,2526,2,bounding_box_train/0032_c3s1_002526_02.jpg,data/processed/train/0032/0032_c3s1_002526_02.jpg
train,32,5,1,2801,1,bounding_box_train/0032_c5s1_002801_01.jpg,data/processed/train/0032/0032_c5s1_002801_01.jpg
train,32,5,1,2851,2,bounding_box_train/0032_c5s1_002851_02.jpg,data/processed/train/0032/0032_c5s1_002851_02.jpg
train,32,5,1,2901,4,bounding_box_train/0032_c5s1_002901_04.jpg,data/processed/train/0032/0032_c5s1_002901_04.jpg
train,32,5,1,2926,2,bounding_box_train/0032_c5s1_002926_02.jpg,data/processed/train/0032/0032_c5s1_002926_02.jpg
train,32,6,1,2851,1,bounding_box_train/0032_c6s1_002851_01.jpg,data/processed/train/0032/0032_c6s1_002851_01.jpg
